,사업장명,지역(구)
599,HTV 휘트니스,동대문구
600,머슬허슬,동대문구
601,휴맥스 휘트니스크럽,동대문구
602,H GYM(에이치 짐),동대문구
603,스포벡휘트니스,동대문구
604,H-body 휘트니스,동대문구
605,힐 휘트니스,동대문구
606,M&F 스포츠클럽,동대문구
607,버닝타임,동대문구
608,헬스보이짐 장안점,동대문구
609,하늘스포츠재활센터,동대문구
610,TRUST GYM,동대문구
611,에이블짐 휘트니스,동대문구
612,비너스헬스,동대문구
613,MJ 스포랜드,동대문구
614,투엑스휘트니스,동대문구
615,청계스포츠(체력단련장),동대문구
616,헬스 119,동대문구
617,휘트니스 월드,동대문구
618,에스라인 휘트니스,동대문구
619,더빠짐,동대문구
620,나은척추관절운동센터,동대문구
621,직선 퍼스널트레이닝,동대문구
622,라온 퍼스널트레이닝,동대문구
623,한신휘트니스,동대문구
624,더블에스 휘트니스,동대문구
625,뉴파워짐,동대문구
626,(주)엑스알그라운드,동대문구
627,골든몽키짐(GYM),동대문구
628,파워헬스클럽,동대문구
629,동대문종합사회복지관(체력단련장업),동대문구
630,와치 휘트니스,동대문구
631,New Body Gym,동대문구
632,에이짐(A GYM),동대문구
633,크로스핏 리스펙,동대문구
634,더블에스 휘트니스,동대문구
635,팻다운짐,동대문구
636,시티짐 퍼플,동대문구
637,트리플에이짐(Triple A Gym),동대문구
638,닥터스트렝스,동대문구
639,팀현gym,동대문구
640,베이스오브바디,동대문구
641,101퍼센트짐,동대문구
642,H-GYM 투,동대문구
643,코어스트롱 휘트니스,중랑구
644,바디플레이스,중랑구
645,쑤핏,중랑구
646,면목 휘트니스,중랑구
647,린 휘트니스,중랑구
648,코어스트롱 중랑구청점,중랑구
649,온리엘 PT 스튜디오,중랑구
650,뉴온리짐,중랑구
651,GOTO 면목,중랑구
652,주식회사 고릴라멀티짐,중랑구
653,커브스 신내클럽,중랑구
654,시너지 휘트니스,중랑구
655,피트니스 에스 핏,중랑구
656,오메가 쓰리 스포츠,중랑구
657,바디캠프,중랑구
658,스포웰짐,중랑구
659,투바디짐,중랑구
660,워너비짐,중랑구
661,카인드짐 24시 휘트니스&스쿼시 먹골역점,중랑구
662,연희 피티＆필라테스,서대문구
663,신내헬스,중랑구
664,사가정역점 스포애니 주)케이디스포츠,중랑구
665,101퍼센트짐,동대문구
666,올리브짐,중랑구
667,이코리아스포츠,중랑구
668,세방헬스클럽,중랑구
669,카인드짐 휘트니스&스쿼시,중랑구
670,아모르 PT,중랑구
671,하이짐,강동구
672,엠브이엠 거여역점,송파구
673,굿모닝 휘트니스,중랑구
674,PT centre 피티센터,동작구
675,운동창고 PT GYM,중랑구
676,럭키 헬스,중랑구
677,(주)우원지에스(데시앙포레휘트니스),중랑구
678,디프로PT,강남구
679,팀키스짐(TEAM KIS GYM),중랑구
680,건강한 PT studio,성북구
681,업투 길음역점,성북구
682,비바 휘트니스,중랑구
683,운동창고,중랑구
684,카인드 라이프 피트니스,중랑구
685,운동창고 PT- 면목점,중랑구
686,고구마 휘트니스,중랑구
687,팀키스 짐,중랑구
688,시너지 짐,중랑구
689,J. PT GYM,중랑구
690,피트니스 페이스,중랑구
691,쉴드짐,중랑구
692,애스톤 네이처 24 hour 휘트니스,중랑구
693,커브스상봉클럽,중랑구
694,트루짐,중랑구
695,운동자판기 GYM,중랑구
696,미라클 헬스,중랑구
697,짐프릭 면목점,중랑구
698,엠크루짐,중랑구
699,BOBS GYM(밥스짐),중랑구
700,디에타,은평구
701,에이블짐 상봉역점,중랑구
